Dấu thời gian,Câu 1: Bạn sinh vào năm nào? ,Câu 2: Bạn đã từng mua sản phẩm trên TikTok Shop thông qua livestream bán hàng chưa?,"Câu 3: Bạn đang sinh sống, học tập và làm việc tại khu vực Thành phố Hồ Chí Minh.",Câu 4: Tần suất bạn xem livestream bán hàng trên TikTok Shop là bao nhiêu?,"Câu 5: Trung bình trong 1 tháng, bạn mua hàng qua livestream trên TikTok Shop bao nhiêu lần?",Câu 6: Nhóm sản phẩm nào bạn THƯỜNG XUYÊN mua nhất qua livestream TikTok Shop? ,"Câu 7: Trong 6 tháng qua, bạn đã thực hiện yêu cầu ""Trả hàng/Hoàn tiền"" trên TikTok Shop bao nhiêu lần đối với các sản phẩm mua qua livestream?",Câu 8: Thông tin về sản phẩm trong livestream rõ ràng và dễ hiểu.,Câu 9: Livestream cung cấp đầy đủ thông tin cần thiết giúp tôi dễ dàng đưa ra quyết định.,Câu 10: Thông tin về sản phẩm và các chương trình ưu đãi trong livestream có độ chính xác cao.,Câu 11: Livestream trên TikTok Shop cung cấp những thông tin hữu ích và giúp tôi cập nhật xu hướng mới về sản phẩm. ,Câu 12: Streamer trên TikTok Shop thường xuyên tiếp nhận phản hồi từ người xem.,Câu 13: Người livestream khuyến khích sự giao tiếp và tương tác hai chiều với người xem.,Câu 14: Streamer thể hiện sự quan tâm đến ý kiến của người xem trong livestream.,Câu 15: Người xem có cơ hội trao đổi và tương tác với nhau trong livestream TikTok Shop.,Câu 16: Livestream trên TikTok Shop giúp tôi hiểu rõ hơn về công dụng của sản phẩm.,Câu 17: Những nội dung trình bày trong livestream giúp tôi đánh giá chất lượng sản phẩm hiệu quả hơn.,Câu 18: Việc xem livestream giúp tôi có thêm cơ sở để đánh giá sản phẩm.,Câu 19: Livestream giúp tôi có đủ thông tin để quyết định mình có muốn mua sản phẩm hay không.,Câu 20: KOL/KOC hiểu rất rõ về sản phẩm mà họ đang giới thiệu.,Câu 21: KOL/KOC có đủ kiến thức và kinh nghiệm để giải đáp các thắc mắc về sản phẩm.,Câu 22: Tôi đánh giá KOL/KOC là người có chuyên môn trong lĩnh vực sản phẩm họ đang livestream.,Câu 23: KOL/KOC đưa ra những nhận xét chuyên sâu và hữu ích về sản phẩm.,Câu 24: KOL/KOC giới thiệu sản phẩm một cách trung thực,Câu 25: KOL/KOC chia sẻ trải nghiệm về sản phẩm một cách chân thành.,Câu 26: Tôi cảm thấy KOL/KOC này là một nguồn thông tin đáng tin cậy.,Câu 27: KOL/KOC luôn review sản phẩm một cách nghiêm túc và tận tâm.,"Câu 28: Khi xem livestream trên TikTok Shop, tôi hoàn toàn tập trung vào nội dung.",Câu 29: Xem livestream kích thích sự tò mò và khám phá của tôi.,Câu 30: Bản thân việc xem livestream là điều thú vị đối với tôi.,"Câu 31: Khi xem livestream, tôi cảm thấy hoàn toàn bị cuốn vào nhịp điệu của buổi live mà không bị phân tâm. ",Câu 32: Tôi đã mua một sản phẩm vốn không nằm trong dự định ban đầu của mình.,Câu 33:  Quyết định mua sản phẩm của tôi bị ảnh hưởng bởi cảm xúc tại thời điểm đó.,Câu 34: Hành vi “thấy là mua” mô tả khá chính xác cách tôi mua hàng trong livestream.,Câu 35: Tôi thường mua sản phẩm một cách không có kế hoạch trước.,Câu 36: Tôi ước mình đã dành thời gian tìm hiểu kỹ thông tin hơn trước khi bấm nút mua hàng.,Câu 37: Tôi nghĩ mình đã quá vội vàng chốt đơn mà chưa kịp cân nhắc kỹ lưỡng.,"Câu 38: Nếu lý trí và chậm lại một chút, tôi tin rằng mình đã đưa ra quyết định tốt hơn.",Câu 39: Tôi cảm thấy hối hận vì đã không suy nghĩ chín chắn trước khi quyết định mua sản phẩm này..,Câu 40: Tôi lẽ ra nên chọn một sản phẩm khác.  .,Câu 41: Tôi hối hận về quyết định mua hàng của mình.,"Câu 42: Sau khi nhận được sản phẩm, tôi cảm thấy không hài lòng với quyết định mua hàng của mình.","Câu 43: Nhìn lại, tôi ước gì mình đã không chi tiền để mua sản phẩm này.",Câu 44: Tôi cân nhắc việc hoàn trả sản phẩm đã mua (nhưng có thể chưa bấm nút thực hiện ngay).,Câu 45:  Có khả năng cao tôi sẽ tiến hành hoàn trả sản phẩm đã mua này trên TikTok Shop.,"Câu 46: Tôi quyết định bấm nút yêu cầu ""Trả hàng / Hoàn tiền"" trên ứng dụng đối với sản phẩm này.",Câu 47:  Việc hoàn trả sản phẩm là một lựa chọn mà tôi đang xem xét.,"Câu 48: Nếu điều kiện cho phép, tôi sẽ tiến hành hoàn trả sản phẩm.",Câu 49: Tôi sẽ để lại đánh giá tiêu cực về sản phẩm.,Câu 50: Tôi sẽ không giới thiệu sản phẩm này cho người khác.,Câu 51: Tôi sẽ khuyên bạn bè và người thân không nên mua sản phẩm này.,Câu 52: Tôi sẽ chia sẻ trải nghiệm tiêu cực của mình về sản phẩm trên mạng xã hội.,Câu 53: Tôi sẽ để lại bình luận tiêu cực về sản phẩm.,Câu 53: Tôi sẽ tẩy chay đối với các bài đăng liên quan đến sản phẩm.,Câu 54: Tôi sẽ chủ động chia sẻ hoặc tìm kiếm thêm các bài viết phản ánh tiêu cực về sản phẩm. ,Câu 55: Tôi sẽ chia sẻ các nội dung tiêu cực liên quan đến trải nghiệm mua hàng của mình.,Câu 56: Giới tính của bạn,Câu 57: Tình trạng công việc hiện tại của bạn là,Câu 58: Thu nhập hoặc chi tiêu trung bình hàng tháng của bạn là bao nhiêu?
02/07/2026 11:48:43,Từ năm 1997 đến năm 2012,Có,Khu vực khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 11:49:45,Từ năm 1997 đến năm 2012,Chưa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 11:49:47,Từ năm 1997 đến năm 2012,Có,Khu vực khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 11:52:06,Từ năm 1997 đến năm 2012,Có,Đúng,2 - 3 lần / tuần,Từ 4 - 6 lần,"Thời trang, quần áo, phụ kiện",Trên 5 lần,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,Nữ,Học sinh / Sinh viên,Dưới 3 triệu VND
02/07/2026 11:57:18,Từ năm 1997 đến năm 2012,Chưa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 11:57:53,Từ năm 1997 đến năm 2012,Chưa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 11:59:08,Từ năm 1997 đến năm 2012,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,4,4,4,3,4,3,4,3,3,3,3,3,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND
02/07/2026 11:59:33,Từ năm 1997 đến năm 2012,Có,Đúng,2 - 3 lần / tuần,Từ 1 - 3 lần,"Mỹ phẩm, sản phẩm chăm sóc cá nhân",Chưa bao giờ,3,4,4,5,2,4,3,3,5,5,5,5,3,3,3,3,2,2,2,3,2,3,3,3,3,3,4,2,5,5,5,5,4,3,3,5,5,5,5,5,5,3,4,4,3,4,4,4,4,Nam,Học sinh / Sinh viên,Từ 5 triệu - 10 triệu VND
02/07/2026 12:00:30,Từ năm 1997 đến năm 2012,Có,Đúng,1 lần / tuần,Dưới 1 lần,"Đồ ăn, thức uống, đồ ăn vặt",Chưa bao giờ,2,2,2,2,4,4,4,2,2,2,2,2,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,4,2,Nam,Học sinh / Sinh viên,Dưới 3 triệu VND
02/07/2026 12:01:51,Từ năm 1997 đến năm 2012,Có,Khu vực khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 12:01:59,Từ năm 1997 đến năm 2012,Chưa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 12:03:15,Từ năm 1997 đến năm 2012,Có,Khu vực khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 12:03:52,Từ năm 1997 đến năm 2012,Có,Đúng,Ít hơn 1 lần / tuần,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,4,4,4,5,4,4,4,5,4,5,5,4,4,4,3,4,3,4,4,4,3,4,2,3,3,3,2,2,4,3,5,2,2,3,3,3,2,4,2,3,4,4,4,4,3,4,2,4,3,Nam,Người đã đi làm,Trên 10 triệu VND
02/07/2026 12:06:06,Từ năm 1997 đến năm 2012,Có,Khu vực khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2026 12:07:50,Từ năm 1997 đến năm 2012,Có,Đúng,Hàng ngày,Từ 1 - 3 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,4,3,3,4,2,4,4,4,3,3,4,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,2,2,3,3,2,3,3,5,5,5,2,2,4,2,3,Nữ,Học sinh / Sinh viên,Từ 3 triệu - dưới 5 triệu VND
02/07/2026 12:09:18,Từ năm 1997 đến năm 2012,Có,Đúng,Ít hơn 1 lần / tuần,Từ 4 - 6 lần,"Đồ ăn, thức uống, đồ ăn vặt",1 - 2 lần,3,4,3,4,3,4,3,4,4,4,4,4,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,Nữ,Người đã đi làm,Từ 5 triệu - 10 triệu VND
02/07/2026 12:11:51,Từ năm 1997 đến năm 2012,Có,Đúng,Ít hơn 1 lần / tuần,Dưới 1 lần,"Thời trang, quần áo, phụ kiện",Chưa bao giờ,4,4,4,4,3,4,4,5,3,4,4,5,3,3,3,3,3,3,4,4,4,5,3,3,4,5,4,4,1,1,1,1,3,1,1,1,1,2,2,2,2,3,3,3,2,2,1,1,1,Nam,Người đã đi làm,Trên 10 triệu VND
